X1,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
155,110,4,0.6838360224,0.7404224966,1,0.99925,1
156,110,5,0.8598747961,0.9104550129,1,1,1
157,110,6,1.0375849991,1.063394258,1,1,1
158,110,8,1.3930426553,1.3654269973,1,1,1
159,110,10,1.7469514023,1.6286503844,1,1,1
160,110,12,2.0935612623,1.8632532801,1,1,1
161,120,0,0.097888241,0.1030982655,0.02425,0.0175,0.0265
162,120,0.5,0.1194249932,0.1325775126,0.1485,0.0795,0.119
163,120,1,0.1764462605,0.2010124524,0.4155,0.23625,0.31675
164,120,1.5,0.2531347515,0.2960933581,0.768,0.4855,0.627
165,120,2,0.3365974197,0.3807427733,0.93825,0.75225,0.832
166,120,2.5,0.4196412826,0.483070142,0.9895,0.9065,0.9565
167,120,3,0.5072298744,0.5655390869,0.999,0.979,0.99175
168,120,3.5,0.5954872321,0.656622293,1,0.999,0.9995
169,120,4,0.6823283979,0.738418464,1,0.9995,1
170,120,5,0.8612233482,0.9104657043,1,1,1
171,120,6,1.0366969452,1.0747535342,1,1,1
172,120,8,1.3946171767,1.3594828648,1,1,1
173,120,10,1.7472407705,1.6340822649,1,1,1
174,120,12,2.0991196799,1.861706868,1,1,1
175,130,0,0.093253771,0.0975599091,0.023,0.01975,0.024
176,130,0.5,0.1144676011,0.1264397069,0.1455,0.085,0.1105
177,130,1,0.1731502417,0.2010328454,0.447,0.24,0.34125
178,130,1.5,0.2549900888,0.2918528381,0.8065,0.5115,0.6525
179,130,2,0.3382879056,0.3849689591,0.95875,0.7835,0.87425
180,130,2.5,0.4209966247,0.4761004857,0.9985,0.937,0.969
181,130,3,0.5085319691,0.5690876666,0.99975,0.98625,0.99625
182,130,3.5,0.5931030727,0.6539394527,1,0.999,0.9995
183,130,4,0.6804932131,0.7400372185,1,1,1
184,130,5,0.8647913958,0.9078833471,1,1,1
185,130,6,1.0370696946,1.0657968744,1,1,1
186,130,8,1.3965738402,1.3603040228,1,1,1
187,130,10,1.7494418909,1.624501318,1,1,1
188,130,12,2.0924243913,1.8617109789,1,1,1
189,140,0,0.0897084082,0.092937018,0.01925,0.0175,0.02125
190,140,0.5,0.1115343102,0.1216870415,0.1365,0.083,0.1145
191,140,1,0.1749328057,0.1976043386,0.47675,0.2785,0.35525
192,140,1.5,0.2503573324,0.293791962,0.8315,0.5575,0.7005
193,140,2,0.3354080892,0.3834667849,0.96825,0.80775,0.8955
194,140,2.5,0.4204639476,0.4788708384,0.9975,0.943,0.98
195,140,3,0.5058379378,0.5681642922,0.99975,0.991,0.99775
196,140,3.5,0.5954172645,0.6550992738,1,0.9995,0.9995
197,140,4,0.6821861816,0.7382740528,1,1,1
198,140,5,0.8582948253,0.9082348107,1,1,1
199,140,6,1.0363270288,1.0628248689,1,1,1
200,140,8,1.3955906153,1.3639495446,1,1,1
201,140,10,1.7533966659,1.6332171075,1,1,1
202,140,12,2.0913360375,1.8540528368,1,1,1
203,150,0,0.0883353177,0.0911376973,0.02225,0.019,0.023
204,150,0.5,0.1124966443,0.1246361695,0.176,0.0835,0.14
205,150,1,0.1701927963,0.2013117675,0.5091666667,0.274,0.404
206,150,1.5,0.2498371808,0.2918883852,0.839,0.5775,0.7195
207,150,2,0.3353032917,0.3858209981,0.979125,0.83675,0.915875
208,150,2.5,0.4240670038,0.4721721967,1,0.962,0.987
209,150,3,0.5082878153,0.5660142583,0.9996666667,0.9961666667,0.9983333333
210,150,3.5,0.5929710715,0.6548773999,1,0.9995,1
211,150,4,0.6849853381,0.7412039358,1,1,1
212,150,5,0.855160684,0.9098044242,1,1,1
213,150,6,1.034369976,1.0662682597,1,1,1
214,150,8,1.3969926835,1.362521537,1,1,1
215,150,10,1.7505686227,1.6178749198,1,1,1
216,150,12,2.0958545442,1.862031036,1,1,1
217,200,0,0.0739163379,0.0785112446,0.0225,0.02025,0.02275
218,200,0.5,0.1014455353,0.1146772963,0.198,0.1015,0.1635
219,200,1,0.1670920417,0.1976298822,0.63075,0.3695,0.49575
220,200,1.5,0.2522255245,0.2903973556,0.923,0.71,0.8205
221,200,2,0.3328876443,0.3848202854,0.99525,0.9285,0.97025
222,200,2.5,0.4228071616,0.4801394625,1,0.994,0.999
223,200,3,0.5058709302,0.5681265388,1,0.999,1
224,200,3.5,0.5950101859,0.6513168867,1,1,1
225,200,4,0.6837820967,0.7384311701,1,1,1
226,200,5,0.8577981756,0.909660463,1,1,1
227,200,6,1.0350388005,1.0631473864,1,1,1
228,200,8,1.3914067104,1.3574096076,1,1,1
229,200,10,1.7451993534,1.621528599,1,1,1
230,200,12,2.0936132304,1.8644352079,1,1,1
231,250,0,0.0664789356,0.0692337542,0.02275,0.01925,0.02
232,250,0.5,0.0954470088,0.1134575202,0.259,0.121,0.2015
233,250,1,0.1659951079,0.1955757466,0.7235,0.44075,0.5855
234,250,1.5,0.2524299395,0.2928351822,0.977,0.816,0.9175
235,250,2,0.3352793516,0.3841506132,0.999,0.96825,0.99175
236,250,2.5,0.4206437397,0.4760009325,1,0.997,1
237,250,3,0.5074337408,0.5649614607,1,1,1
238,250,3.5,0.594006472,0.6557993658,1,1,1
239,250,4,0.6830932402,0.7401578575,1,1,1
240,250,5,0.8564220532,0.9078104084,1,1,1
241,250,6,1.0363242865,1.0657541846,1,1,1
242,250,8,1.3939665591,1.3607753071,1,1,1
243,250,10,1.7456440021,1.6272794529,1,1,1
244,250,12,2.097011604,1.8560586076,1,1,1
245,300,0,0.0616577868,0.0633678037,0.022,0.0163333333,0.0216666667
246,300,0.5,0.094888343,0.1071533269,0.289,0.163,0.213
247,300,1,0.1639105106,0.197225106,0.8113333333,0.5085,0.6741666667
248,300,1.5,0.2520346015,0.2922357023,0.9825,0.8885,0.944
249,300,2,0.3349531362,0.3851448084,1,0.9883333333,0.9985
250,300,2.5,0.4189671562,0.4804081956,1,0.999,1
251,300,3,0.5047278883,0.567748453,1,1,1
252,300,3.5,0.5955754234,0.6535903613,1,1,1
253,300,4,0.6823704846,0.7411491662,1,1,1
254,300,5,0.8564534811,0.9061753679,1,1,1
255,300,6,1.0383234349,1.0672580918,1,1,1
256,300,8,1.3919198358,1.3587357747,1,1,1
257,300,10,1.7458797158,1.6257442455,1,1,1
258,300,12,2.0919064189,1.8598079859,1,1,1
259,350,0,0.0576664645,0.0592311937,0.023,0.0205,0.02175
260,350,0.5,0.0905793973,0.1068014125,0.325,0.1825,0.255
261,350,1,0.1659261483,0.1969089308,0.8695,0.593,0.74625
262,350,1.5,0.2495485355,0.2906442306,0.998,0.9065,0.97
263,350,2,0.3345833231,0.3862549696,1,0.997,0.99975
264,350,2.5,0.4207586396,0.4769136466,1,1,1
265,350,3,0.5078674413,0.5686022703,1,1,1
266,350,3.5,0.5936445497,0.6530929502,1,1,1
267,350,4,0.6819667046,0.7407468698,1,1,1
268,350,5,0.8573311673,0.9061962766,1,1,1
269,350,6,1.0356701608,1.0657856926,1,1,1
270,350,8,1.3932956132,1.3612384341,1,1,1
271,350,10,1.7488802079,1.6239512612,1,1,1
272,350,12,2.0891783021,1.8608435065,1,1,1
273,400,0,0.0539263865,0.0542389252,0.02325,0.0215,0.0205
274,400,0.5,0.0906716428,0.1030933784,0.37,0.2115,0.2795
275,400,1,0.1658027159,0.1952929384,0.9045,0.6515,0.78675
276,400,1.5,0.2504458764,0.2927067445,0.9995,0.9525,0.9835
277,400,2,0.3331775855,0.3842128862,0.99975,0.99875,0.9995
278,400,2.5,0.4193501169,0.4765531239,1,1,1
279,400,3,0.5051489302,0.5669381449,1,1,1
280,400,3.5,0.5948183618,0.6545214801,1,1,1
281,400,4,0.6823109363,0.7411434101,1,1,1
282,400,5,0.8571871415,0.9070209969,1,1,1
283,400,6,1.0373272422,1.0657607293,1,1,1
284,400,8,1.3912205753,1.3610982889,1,1,1
285,400,10,1.743421911,1.6231109277,1,1,1
286,400,12,2.0892684276,1.8552050158,1,1,1
