,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
103,75.0,7.999999999999997,1.3912438189269534,1.3604107472334357,1.0,1.0,1.0
104,75.0,12.000000000000002,2.1018634490487,1.8678618639110802,1.0,1.0,1.0
105,80.0,0.0,0.11780584740415007,0.12379748476680535,0.021,0.014,0.0205
106,80.0,0.4999999999999982,0.13368145577701018,0.14507525767395385,0.103,0.055,0.0775
107,80.0,1.0000000000000009,0.18431463846378685,0.21531218730148688,0.3055,0.1685,0.237
108,80.0,1.4999999999999991,0.25634563436902597,0.2909548752213724,0.565,0.35,0.431
109,80.0,2.0000000000000018,0.33952015104845834,0.3863507453809321,0.8285,0.5645,0.6735
110,80.0,2.5,0.4195551003407949,0.47874115563187364,0.942,0.768,0.8535
111,80.0,2.9999999999999982,0.5019643131222629,0.5697776661607555,0.992,0.893,0.956
112,80.0,3.5000000000000013,0.6017766098931286,0.6523602088115792,0.999,0.971,0.9865
113,80.0,3.9999999999999987,0.6842593819793754,0.7392965681969426,1.0,0.9945,0.998
114,80.0,5.0,0.8597767365420863,0.9169294719993402,1.0,0.999,1.0
115,80.0,6.000000000000001,1.0405706707605746,1.0733530814885048,1.0,1.0,1.0
116,80.0,7.999999999999997,1.395595204165165,1.3603453298405672,1.0,1.0,1.0
117,80.0,10.0,1.7491107799108248,1.62457446602852,1.0,1.0,1.0
118,80.0,12.000000000000002,2.0963361124073394,1.8676824486073729,1.0,1.0,1.0
119,90.0,0.0,0.11186645976606517,0.11412378670552976,0.0255,0.0195,0.021
120,90.0,0.4999999999999982,0.12986324290461615,0.13945949672317035,0.1,0.063,0.0835
121,90.0,1.0000000000000009,0.18076637859617223,0.20654639879257053,0.328,0.17,0.2465
122,90.0,1.4999999999999991,0.254368634084326,0.298566261764012,0.6345,0.3595,0.4935
123,90.0,2.0000000000000018,0.3337176007180425,0.3873905328012309,0.881,0.6105,0.749
124,90.0,2.5,0.4247215248756424,0.48008666833744124,0.971,0.8145,0.898
125,90.0,2.9999999999999982,0.508535938658619,0.5654646156991884,0.9965,0.934,0.9665
126,90.0,3.5000000000000013,0.5957246653343528,0.6574084559806559,0.9995,0.977,0.9925
127,90.0,3.9999999999999987,0.6864896953539015,0.7468663474163505,1.0,0.996,0.9985
128,90.0,5.0,0.857883299872573,0.9075180824653309,1.0,0.9995,1.0
129,90.0,6.000000000000001,1.0374598176879375,1.070549248232055,1.0,1.0,1.0
130,90.0,7.999999999999997,1.3952248153234035,1.3589122995454277,1.0,1.0,1.0
131,90.0,10.0,1.7487867031522937,1.6346263320738905,1.0,1.0,1.0
132,90.0,12.000000000000002,2.1012048363928804,1.8597908305598672,1.0,1.0,1.0
133,100.0,0.0,0.1103951182793013,0.11267622964693186,0.0275,0.0175,0.026
134,100.0,0.4999999999999982,0.1320869546981439,0.1383254808310382,0.124,0.0845,0.106
135,100.0,1.0000000000000009,0.1799009080149923,0.20455143269944712,0.354,0.195,0.2755
136,100.0,1.4999999999999991,0.2531908302243937,0.29787501471700367,0.681,0.4055,0.5505
137,100.0,2.0000000000000018,0.3282638556446164,0.3839040896201926,0.893,0.6395,0.778
138,100.0,2.5,0.42913722949133226,0.4804534305297952,0.986,0.8705,0.927
139,100.0,2.9999999999999982,0.5131370217503822,0.5673049063800306,0.9975,0.964,0.982
140,100.0,3.5000000000000013,0.5920116583055794,0.6607238733460179,0.9995,0.992,0.9975
141,100.0,3.9999999999999987,0.6818174381803663,0.7376900194164155,1.0,0.9995,0.999
142,100.0,5.0,0.8626771975759618,0.9183192465494838,1.0,1.0,1.0
143,100.0,6.000000000000001,1.0381557939053312,1.0694070944203762,1.0,1.0,1.0
144,100.0,7.999999999999997,1.3931432694768298,1.3571807790977717,1.0,1.0,1.0
145,100.0,10.0,1.7548075309804292,1.6275087529728516,1.0,1.0,1.0
146,100.0,12.000000000000002,2.0959098075537757,1.8603080846040494,1.0,1.0,1.0
147,110.0,0.0,0.10384232990130778,0.10495733835567196,0.0135,0.0165,0.0155
148,110.0,0.4999999999999982,0.12774173992780194,0.1349925426809376,0.1355,0.0915,0.103
149,110.0,1.0000000000000009,0.17572996026076299,0.20462982409769148,0.4025,0.2225,0.286
150,110.0,1.4999999999999991,0.2544519048468507,0.29411333145907914,0.7165,0.462,0.578
151,110.0,2.0000000000000018,0.3375021060889567,0.38761825708432074,0.9245,0.716,0.8215
152,110.0,2.5,0.41989323348555707,0.476410503350796,0.986,0.895,0.937
153,110.0,2.9999999999999982,0.5107038180244327,0.5654584274631312,0.999,0.973,0.9885
154,110.0,3.5000000000000013,0.5936305141555919,0.659526992409444,1.0,0.9955,0.999
155,110.0,3.9999999999999987,0.687242633228792,0.7413190455986778,1.0,1.0,1.0
156,110.0,5.0,0.8598747961012083,0.9104550129480444,1.0,1.0,1.0
157,110.0,6.000000000000001,1.0375849990620587,1.0633942579917532,1.0,1.0,1.0
158,110.0,7.999999999999997,1.393042655270669,1.3654269972526647,1.0,1.0,1.0
159,110.0,10.0,1.7469514022659653,1.6286503843892575,1.0,1.0,1.0
160,110.0,12.000000000000002,2.0935612622720035,1.8632532800862855,1.0,1.0,1.0
161,120.0,0.0,0.09560483899571248,0.10168182581631276,0.0235,0.0195,0.0255
